week,variant,pct
2021-12-04,BA.1,0.8
2021-12-04,BA.2,0
2021-12-04,BA.2.12,0
2021-12-04,BA.2.75,0
2021-12-04,BA.4,0
2021-12-04,BA.5,0
2021-12-04,Delta,98.9
2021-12-11,BA.1,7.9
2021-12-11,BA.2,0
2021-12-11,BA.2.12,0
2021-12-11,BA.2.75,0
2021-12-11,BA.4,0
2021-12-11,BA.5,0
2021-12-11,Delta,91.8
2021-12-18,BA.1,38
2021-12-18,BA.2,0
2021-12-18,BA.2.12,0
2021-12-18,BA.2.75,0
2021-12-18,BA.4,0
2021-12-18,BA.5,0
2021-12-18,Delta,61.6
2021-12-25,BA.1,73.5
2021-12-25,BA.2,0
2021-12-25,BA.2.12,0
2021-12-25,BA.2.75,0
2021-12-25,BA.4,0
2021-12-25,BA.5,0
2021-12-25,Delta,25.8
2022-01-01,BA.1,89
2022-01-01,BA.2,0
2022-01-01,BA.2.12,0
2022-01-01,BA.2.75,0
2022-01-01,BA.4,0
2022-01-01,BA.5,0
2022-01-01,Delta,10.2
2022-01-08,BA.1,95.1
2022-01-08,BA.2,0.1
2022-01-08,BA.2.12,0
2022-01-08,BA.2.75,0
2022-01-08,BA.4,0
2022-01-08,BA.5,0
2022-01-08,Delta,4.5
2022-01-15,BA.1,97.80000000000001
2022-01-15,BA.2,0.2
2022-01-15,BA.2.12,0
2022-01-15,BA.2.75,0
2022-01-15,BA.4,0
2022-01-15,BA.5,0
2022-01-15,Delta,1.9
2022-01-22,BA.1,98.6
2022-01-22,BA.2,0.4
2022-01-22,BA.2.12,0
2022-01-22,BA.2.75,0
2022-01-22,BA.4,0
2022-01-22,BA.5,0
2022-01-22,Delta,0.8
2022-01-29,BA.1,98.7
2022-01-29,BA.2,0.8
2022-01-29,BA.2.12,0
2022-01-29,BA.2.75,0
2022-01-29,BA.4,0
2022-01-29,BA.5,0
2022-01-29,Delta,0.5
2022-02-05,BA.1,98.19999999999999
2022-02-05,BA.2,1
2022-02-05,BA.2.12,0
2022-02-05,BA.2.75,0
2022-02-05,BA.4,0
2022-02-05,BA.5,0
2022-02-05,Delta,0.7
2022-02-12,BA.1,97.6
2022-02-12,BA.2,2.2
2022-02-12,BA.2.12,0
2022-02-12,BA.2.75,0
2022-02-12,BA.4,0
2022-02-12,BA.5,0
2022-02-12,Delta,0.2
2022-02-19,BA.1,96
2022-02-19,BA.2,3.9
2022-02-19,BA.2.12,0
2022-02-19,BA.2.75,0
2022-02-19,BA.4,0
2022-02-19,BA.5,0
2022-02-19,Delta,0.1
2022-02-26,BA.1,92.30000000000001
2022-02-26,BA.2,7.3
2022-02-26,BA.2.12,0.1
2022-02-26,BA.2.75,0
2022-02-26,BA.4,0
2022-02-26,BA.5,0.1
2022-02-26,Delta,0.2
2022-03-05,BA.1,85.7
2022-03-05,BA.2,14
2022-03-05,BA.2.12,0.1
2022-03-05,BA.2.75,0
2022-03-05,BA.4,0
2022-03-05,BA.5,0
2022-03-05,Delta,0.1
2022-03-12,BA.1,73.4
2022-03-12,BA.2,26
2022-03-12,BA.2.12,0.5
2022-03-12,BA.2.75,0
2022-03-12,BA.4,0
2022-03-12,BA.5,0
2022-03-12,Delta,0.1
2022-03-19,BA.1,56.7
2022-03-19,BA.2,41.3
2022-03-19,BA.2.12,1.7
2022-03-19,BA.2.75,0
2022-03-19,BA.4,0
2022-03-19,BA.5,0
2022-03-19,Delta,0.1
2022-03-26,BA.1,36.6
2022-03-26,BA.2,59.3
2022-03-26,BA.2.12,4
2022-03-26,BA.2.75,0
2022-03-26,BA.4,0
2022-03-26,BA.5,0
