week,BA.1,BA.2,BA.2.12,BA.2.75,BA.4,BA.5,Delta
2021-12-04,0.8,0,0,0,0,0,98.9
2021-12-11,7.9,0,0,0,0,0,91.8
2021-12-18,38,0,0,0,0,0,61.6
2021-12-25,73.5,0,0,0,0,0,25.8
2022-01-01,89,0,0,0,0,0,10.2
2022-01-08,95.1,0.1,0,0,0,0,4.5
2022-01-15,97.80000000000001,0.2,0,0,0,0,1.9
2022-01-22,98.6,0.4,0,0,0,0,0.8
2022-01-29,98.7,0.8,0,0,0,0,0.5
2022-02-05,98.19999999999999,1,0,0,0,0,0.7
2022-02-12,97.6,2.2,0,0,0,0,0.2
2022-02-19,96,3.9,0,0,0,0,0.1
2022-02-26,92.30000000000001,7.3,0.1,0,0,0.1,0.2
2022-03-05,85.7,14,0.1,0,0,0,0.1
2022-03-12,73.4,26,0.5,0,0,0,0.1
2022-03-19,56.7,41.3,1.7,0,0,0,0.1
2022-03-26,36.6,59.3,4,0,0,0,0.1
2022-04-02,20.7,70.8,8.1,0,0,0.1,0
2022-04-09,10.8,73.5,15.4,0,0,0,0
2022-04-16,5.5,73.5,20.5,0,0,0.1,0
2022-04-23,2.9000000000000004,70.2,26.5,0,0.1,0,0
2022-04-30,1.5999999999999999,62.4,35.2,0,0.2,0.3,0
2022-05-07,0.6,53.6,44.4,0,0.6,0.5,0
2022-05-14,0.4,46.3,50.9,0,1,1.1,0
2022-05-21,0.2,37.3,57.8,0,1.9,2.5,0
2022-05-28,0.1,29.1,62.3,0,3.4,4.6,0
2022-06-04,0.2,22.4,61.1,0,6.2,9.6,0
2022-06-11,0,16.6,56.6,0,8.6,17.6,0
2022-06-18,0,11,48,0,11.1,29,0
2022-06-25,0,7.6,35.5,0,12.9,42.8,0
2022-07-02,0,4.7,24,0,13.1,56.2,0
2022-07-09,0,2.9,15.6,0,12.8,66.2,0
2022-07-16,0,2,9.5,0.1,11.6,73.6,0
2022-07-23,0,1.4,5.7,0.1,9.8,79.2,0
2022-07-30,0,1,3.4,0.2,8.4,82.3,0
2022-08-06,0,0.6,2.3,0.2,7.2,84.3,0
2022-08-13,0,0.5,1.2,0.2,6,85.19999999999999,0
2022-08-20,0,0.3,0.6,0.4,4.5,86.39999999999999,0
2022-08-27,0,0.2,0.4,0.4,4.1,85.8,0
