date,measure,value
2020-01-21,cases,1
2020-01-21,cases_avg7_pc,NA
2020-01-21,deaths,0
2020-01-21,deaths_avg7_pc,NA
2020-01-22,cases,1
2020-01-22,cases_avg7_pc,NA
2020-01-22,deaths,0
2020-01-22,deaths_avg7_pc,NA
2020-01-23,cases,1
2020-01-23,cases_avg7_pc,NA
2020-01-23,deaths,0
2020-01-23,deaths_avg7_pc,NA
2020-01-24,cases,2
2020-01-24,cases_avg7_pc,NA
2020-01-24,deaths,0
2020-01-24,deaths_avg7_pc,NA
2020-01-25,cases,3
2020-01-25,cases_avg7_pc,NA
2020-01-25,deaths,0
2020-01-25,deaths_avg7_pc,NA
2020-01-26,cases,5
2020-01-26,cases_avg7_pc,NA
2020-01-26,deaths,0
2020-01-26,deaths_avg7_pc,NA
2020-01-27,cases,5
2020-01-27,cases_avg7_pc,NA
2020-01-27,deaths,0
2020-01-27,deaths_avg7_pc,NA
2020-01-28,cases,5
2020-01-28,cases_avg7_pc,1.733043408400006e-6
2020-01-28,deaths,0
2020-01-28,deaths_avg7_pc,0
2020-01-29,cases,5
2020-01-29,cases_avg7_pc,1.733043408400006e-6
2020-01-29,deaths,0
2020-01-29,deaths_avg7_pc,0
2020-01-30,cases,6
2020-01-30,cases_avg7_pc,2.166304260500008e-6
2020-01-30,deaths,0
2020-01-30,deaths_avg7_pc,0
2020-01-31,cases,7
2020-01-31,cases_avg7_pc,2.166304260500008e-6
2020-01-31,deaths,0
2020-01-31,deaths_avg7_pc,0
2020-02-01,cases,8
2020-02-01,cases_avg7_pc,2.166304260500008e-6
2020-02-01,deaths,0
2020-02-01,deaths_avg7_pc,0
2020-02-02,cases,11
2020-02-02,cases_avg7_pc,2.599565112600009e-6
2020-02-02,deaths,0
2020-02-02,deaths_avg7_pc,0
2020-02-03,cases,11
2020-02-03,cases_avg7_pc,2.599565112600009e-6
2020-02-03,deaths,0
2020-02-03,deaths_avg7_pc,0
2020-02-04,cases,11
2020-02-04,cases_avg7_pc,2.599565112600009e-6
2020-02-04,deaths,0
2020-02-04,deaths_avg7_pc,0
2020-02-05,cases,12
2020-02-05,cases_avg7_pc,3.0328259647000102e-6
2020-02-05,deaths,0
2020-02-05,deaths_avg7_pc,0
2020-02-06,cases,12
2020-02-06,cases_avg7_pc,2.599565112600009e-6
2020-02-06,deaths,0
2020-02-06,deaths_avg7_pc,0
2020-02-07,cases,12
2020-02-07,cases_avg7_pc,2.1663042605000075e-6
2020-02-07,deaths,0
2020-02-07,deaths_avg7_pc,0
2020-02-08,cases,12
2020-02-08,cases_avg7_pc,1.733043408400006e-6
2020-02-08,deaths,0
2020-02-08,deaths_avg7_pc,0
2020-02-09,cases,12
2020-02-09,cases_avg7_pc,4.332608521000016e-7
2020-02-09,deaths,0
2020-02-09,deaths_avg7_pc,0
2020-02-10,cases,13
2020-02-10,cases_avg7_pc,8.66521704200003e-7
2020-02-10,deaths,0
2020-02-10,deaths_avg7_pc,0
2020-02-11,cases,13
2020-02-11,cases_avg7_pc,8.66521704200003e-7
2020-02-11,deaths,0
2020-02-11,deaths_avg7_pc,0
2020-02-12,cases,14
2020-02-12,cases_avg7_pc,8.66521704200003e-7
2020-02-12,deaths,0
2020-02-12,deaths_avg7_pc,0
2020-02-13,cases,15
2020-02-13,cases_avg7_pc,1.2997825563000043e-6
2020-02-13,deaths,0
2020-02-13,deaths_avg7_pc,0
2020-02-14,cases,15
2020-02-14,cases_avg7_pc,1.2997825563000043e-6
2020-02-14,deaths,0
2020-02-14,deaths_avg7_pc,0
2020-02-15,cases,15
2020-02-15,cases_avg7_pc,1.2997825563000043e-6
2020-02-15,deaths,0
