region,week,pango,who,variant,pct,pct_ci_lo,pct_ci_hi
1,2021-06-26,A.2.5,NA,Other,1.4,0.2,8.4
1,2021-06-26,AY.1,Delta,Delta,0,NA,NA
1,2021-06-26,AY.2,Delta,Delta,1.3,0,8
1,2021-06-26,AY.3,Delta,Delta,2.1,0.8,5.4
1,2021-06-26,B.1.1.194,NA,Other,0,NA,NA
1,2021-06-26,B.1.1.529,NA,BA.1,0,NA,NA
1,2021-06-26,B.1.1.7,Alpha,Other,14.5,9.4,21
1,2021-06-26,B.1.351,Beta,Other,0,NA,NA
1,2021-06-26,B.1.427,Epsilon,Other,0,NA,NA
1,2021-06-26,B.1.429,Epsilon,Other,0,NA,NA
1,2021-06-26,B.1.525,Eta,Other,0,NA,NA
1,2021-06-26,B.1.526,Iota,Other,10,5.3,16.8
1,2021-06-26,B.1.617.1,Kappa,Other,0,NA,NA
1,2021-06-26,B.1.617.2,Delta,Delta,33.8,25.1,43.4
1,2021-06-26,B.1.617.3,NA,Other,0,NA,NA
1,2021-06-26,B.1.621,Mu,Other,18.5,12.1,26.5
1,2021-06-26,B.1.621.1,NA,Other,14.6,6.6,29.2
1,2021-06-26,B.1.626,NA,Other,1.7,0.2,15.3
1,2021-06-26,B.1.628,NA,Other,3.4,0.5,10.7
1,2021-06-26,B.1.637,NA,Other,5,0.9,14.7
1,2021-06-26,BA.1.1,Omicron,BA.1,0,NA,NA
1,2021-06-26,BA.2,Omicron,BA.2,0,NA,NA
1,2021-06-26,BA.2.12.1,Omicron,BA.2.12,0,NA,NA
1,2021-06-26,BA.2.75,Omicron,BA.2.75,0,NA,NA
1,2021-06-26,BA.2.75.2,Omicron,BA.2.75,0,NA,NA
1,2021-06-26,BA.4,Omicron,BA.4,0,NA,NA
1,2021-06-26,BA.4.6,Omicron,Other,0,NA,NA
1,2021-06-26,BA.5,Omicron,BA.5,0,NA,NA
1,2021-06-26,BA.5.2.6,Omicron,BA.5,0,NA,NA
1,2021-06-26,BF.11,NA,Other,0,NA,NA
1,2021-06-26,BF.7,NA,Other,0,NA,NA
1,2021-06-26,BN.1,NA,Other,0,NA,NA
1,2021-06-26,BQ.1,Omicron,Other,0,NA,NA
1,2021-06-26,BQ.1.1,Omicron,Other,0,NA,NA
1,2021-06-26,Other,NA,Other,66.2,56.6,74.9
1,2021-06-26,P.1,Gamma,Other,9.5,5,16
1,2021-06-26,XBB,Omicron,Other,0,NA,NA
1,2021-06-26,XBB.1.5,Omicron,Other,0,NA,NA
1,2021-07-03,A.2.5,NA,Other,1,0.1,6.1
1,2021-07-03,AY.1,Delta,Delta,0,NA,NA
1,2021-07-03,AY.2,Delta,Delta,0,NA,NA
1,2021-07-03,AY.3,Delta,Delta,3.4,2,5.9
1,2021-07-03,B.1.1.194,NA,Other,0,NA,NA
1,2021-07-03,B.1.1.529,NA,BA.1,0,NA,NA
1,2021-07-03,B.1.1.7,Alpha,Other,14.4,8.6,22.1
1,2021-07-03,B.1.351,Beta,Other,1,0,6.1
1,2021-07-03,B.1.427,Epsilon,Other,0,NA,NA
1,2021-07-03,B.1.429,Epsilon,Other,0,NA,NA
1,2021-07-03,B.1.525,Eta,Other,0,NA,NA
1,2021-07-03,B.1.526,Iota,Other,3.8,0.5,12.2
1,2021-07-03,B.1.617.1,Kappa,Other,0,NA,NA
1,2021-07-03,B.1.617.2,Delta,Delta,51.5,43.8,59.1
1,2021-07-03,B.1.617.3,NA,Other,0,NA,NA
