date,cases,new_cases,cases_avg7,cases_avg7_pc,cases_avg14,cases_avg14_pc,deaths,new_deaths,deaths_avg7,deaths_avg7_pc,deaths_avg14,deaths_avg14_pc,tot_pop
2020-01-21,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,329725481
2020-01-22,1,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,329725481
2020-01-23,1,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,329725481
2020-01-24,2,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,329725481
2020-01-25,3,1,NA,NA,NA,NA,0,0,NA,NA,NA,NA,329725481
2020-01-26,5,2,NA,NA,NA,NA,0,0,NA,NA,NA,NA,329725481
2020-01-27,5,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,329725481
2020-01-28,5,0,0.5714285714285714,1.733043408400006e-6,NA,NA,0,0,0,0,0,0,329725481
2020-01-29,5,0,0.5714285714285714,1.733043408400006e-6,NA,NA,0,0,0,0,0,0,329725481
2020-01-30,6,1,0.7142857142857143,2.166304260500008e-6,NA,NA,0,0,0,0,0,0,329725481
2020-01-31,7,1,0.7142857142857143,2.166304260500008e-6,NA,NA,0,0,0,0,0,0,329725481
2020-02-01,8,1,0.7142857142857143,2.166304260500008e-6,NA,NA,0,0,0,0,0,0,329725481
2020-02-02,11,3,0.8571428571428571,2.599565112600009e-6,NA,NA,0,0,0,0,0,0,329725481
2020-02-03,11,0,0.8571428571428571,2.599565112600009e-6,NA,NA,0,0,0,0,0,0,329725481
2020-02-04,11,0,0.8571428571428571,2.599565112600009e-6,0.7142857142857143,2.166304260500008e-6,0,0,0,0,0,0,329725481
2020-02-05,12,1,1,3.0328259647000102e-6,0.7857142857142857,2.382934686550008e-6,0,0,0,0,0,0,329725481
2020-02-06,12,0,0.8571428571428571,2.599565112600009e-6,0.7857142857142857,2.382934686550008e-6,0,0,0,0,0,0,329725481
2020-02-07,12,0,0.7142857142857142,2.1663042605000075e-6,0.7142857142857143,2.166304260500008e-6,0,0,0,0,0,0,329725481
2020-02-08,12,0,0.5714285714285715,1.7330434084000061e-6,0.6428571428571429,1.949673834450007e-6,0,0,0,0,0,0,329725481
2020-02-09,12,0,0.14285714285714288,4.3326085210000153e-7,0.5,1.5164129823500051e-6,0,0,0,0,0,0,329725481
2020-02-10,13,1,0.2857142857142857,8.66521704200003e-7,0.5714285714285715,1.7330434084000061e-6,0,0,0,0,0,0,329725481
2020-02-11,13,0,0.2857142857142857,8.66521704200003e-7,0.5714285714285715,1.7330434084000061e-6,0,0,0,0,0,0,329725481
2020-02-12,14,1,0.2857142857142857,8.66521704200003e-7,0.6428571428571429,1.949673834450007e-6,0,0,0,0,0,0,329725481
2020-02-13,15,1,0.42857142857142855,1.2997825563000045e-6,0.6428571428571429,1.949673834450007e-6,0,0,0,0,0,0,329725481
2020-02-14,15,0,0.42857142857142855,1.2997825563000045e-6,0.5714285714285715,1.7330434084000061e-6,0,0,0,0,0,0,329725481
2020-02-15,15,0,0.42857142857142855,1.2997825563000045e-6,0.5,1.5164129823500051e-6,0,0,0,0,0,0,329725481
2020-02-16,15,0,0.42857142857142855,1.2997825563000045e-6,0.2857142857142857,8.66521704200003e-7,0,0,0,0,0,0,329725481
2020-02-17,25,10,1.7142857142857144,5.199130225200019e-6,1,3.0328259647000102e-6,0,0,0,0,0,0,329725481
2020-02-18,25,0,1.7142857142857144,5.199130225200019e-6,1,3.0328259647000102e-6,0,0,0,0,0,0,329725481
2020-02-19,25,0,1.5714285714285714,4.765869373100016e-6,0.9285714285714285,2.8161955386500096e-6,0,0,0,0,0,0,329725481
2020-02-20,27,2,1.7142857142857144,5.199130225200019e-6,1.0714285714285716,3.249456390750012e-6,0,0,0,0,0,0,329725481
2020-02-21,30,3,2.142857142857143,6.4989127815000224e-6,1.2857142857142858,3.899347668900014e-6,0,0,0,0,0,0,329725481
2020-02-22,30,0,2.142857142857143,6.4989127815000224e-6,1.2857142857142858,3.899347668900014e-6,0,0,0,0,0,0,329725481
2020-02-23,30,0,2.142857142857143,6.4989127815000224e-6,1.2857142857142858,3.899347668900014e-6,0,0,0,0,0,0,329725481
